"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9"
"1","strzyżenie","strzyżenie","salon","włos","włos","koloryzacja","manicure","strzyżenie","polecać"
"2","polecać","męski","wizyta","polecać","strzyżenie","kolor","polecać","włos","atmosfera"
"3","comba","polecać","fryzjerka","natalia","długi","damski","hybrydowy","polecać","miły"
"4","włos","damski","cena","atmosfera","średnia","polecać","paznokieć","agnieszka","profesjonalny"
"5","broda","super","włos","miły","damski","aniativus","brew","haircuta","salon"
"6","bród","miły","być","super","polecać","zadowolony","wykonać","super","zadowolony"
"7","super","maszynka","mój","efekt","modelować","cięcie","miły","patrycja","kasi"
"8","klasyczny","zadowolony","zostać","sylwi","krótki","annativus","henna","ewa","klient"
"9","barbera","moniki","mieć","profesjonalny","super","efekt","regulacja","atmosfera","obsługa"
"10","dobry","nożyczki","fryzjer","zadowolony","zadowolony","atmosfera","pedicure","profesjonalny","podejść"
